City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Ugoofaaru,MV,81.88,overcast clouds,5.67,73.0,Ungoofaaru Inn
415,Galle,LK,78.89,overcast clouds,6.04,80.22,Amangalla
417,Obera,AR,75.18,scattered clouds,-27.49,-55.12,CABAÑAS DORALIA
426,Saquarema,BR,78.94,clear sky,-22.92,-42.51,Hotel Fazenda Sol e Lua
427,Takoradi,GH,75.13,broken clouds,4.88,-1.76,Raybow International Hotel
433,Camapua,BR,89.73,few clouds,-19.53,-54.04,Comercial Estrela
434,Guarumal,PA,84.29,scattered clouds,8.35,-82.53,Grama la martina
438,Wadi Maliz,TN,86.56,clear sky,36.47,8.55,Heremony
439,Rio Brilhante,BR,89.02,scattered clouds,-21.8,-54.55,Hotel Cattani
441,Guaraciaba Do Norte,BR,81.1,overcast clouds,-4.17,-40.75,Gospel Fazenda Park Hotel
451,Sao Jose Da Coroa Grande,BR,75.4,light rain,-8.9,-35.15,Crôa Mares Hotel
452,Celina,US,87.55,broken clouds,40.55,-84.57,Americas Best Value Inn Celina
453,Nador,MA,79.05,clear sky,35.17,-2.93,Hôtel La Giralda
461,Guaruja,BR,78.84,clear sky,-23.99,-46.26,Charme Hotel Guarujá
462,Camopi,GF,77.79,overcast clouds,3.17,-52.32,La pousada
463,Tabou,CI,75.88,broken clouds,4.42,-7.35,hotêl doufoulougou
465,Salamiyah,SY,76.15,clear sky,35.01,37.05,Gondolas Forum grandchildren and grandparents
467,Saint-Georges,GD,82.44,clear sky,12.06,-61.75,Radisson Grenada Beach Resort
479,Acarau,BR,82.78,broken clouds,-2.89,-40.12,castelo pizzaria
483,Namakkal,IN,75.36,heavy intensity rain,11.22,78.17,Coastal Grand Hotel Coastal Residency
487,Belem De Sao Francisco,BR,84.74,few clouds,-8.75,-38.97,Village Hotel
489,Cernosice,CZ,79.43,clear sky,49.96,14.32,Zimni stadion Černošice
491,Pignon,HT,81.27,scattered clouds,19.33,-72.12,GUEST HOUSE EXCEPTIONNEL DE PIGNON
492,Puerto Leguizamo,CO,87.24,broken clouds,-0.19,-74.78,la casona de juancho
497,Camocim,BR,81.81,overcast clouds,-2.9,-40.84,Ilha Praia Hotel
500,Formosa Do Rio Preto,BR,87.24,clear sky,-11.05,-45.19,Porto Center Hotel
503,Inirida,CO,82.29,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
509,Bayir,TR,82.92,clear sky,37.27,28.22,Hotel Babadag
511,Aksu,CN,82.33,clear sky,41.12,80.26,Pudong Holiday Hotel
512,Yaviza,PA,81.14,overcast clouds,8.15,-77.69,Yaviza
514,Lodwar,KE,84.18,clear sky,3.12,35.6,Solmar Gracious Hotel
517,Porbandar,IN,81.28,overcast clouds,21.64,69.61,Lords Inn Porbandar
518,Bardiyah,LY,79.03,clear sky,31.76,25.09,بورتو بردية
521,Ajaccio,FR,77.05,clear sky,42.0,8.92,Sole E Monte
522,Boa Vista,BR,85.98,broken clouds,2.82,-60.67,Aipana Plaza Hotel
527,Urumqi,CN,81.55,clear sky,43.8,87.6,Hua Ling Grand Hotel Urumqi
528,Yarada,IN,82.72,overcast clouds,17.65,83.27,Yarada Jungle Beach Resorts
529,Mana,GF,81.86,scattered clouds,5.66,-53.78,LE SAMANA
530,Sokoni,TZ,75.42,clear sky,-6.43,39.55,Ujamaa Beach Resort
531,Tiffin,US,88.45,scattered clouds,41.11,-83.18,"Holiday Inn Express Tiffin, an IHG Hotel"
536,Jamalpur,BD,81.77,overcast clouds,24.92,89.93,College hostel
537,Black River,JM,88.77,few clouds,18.03,-77.85,Idlers' Rest Beach Hotel
538,Hobyo,SO,76.23,few clouds,5.35,48.53,Iftin hotel hobyo
541,Awbari,LY,84.97,clear sky,26.59,12.78,فندق أوباري
545,Niquelandia,BR,86.56,clear sky,-14.47,-48.46,Hotel Suinã
552,Palaia Fokaia,GR,88.84,clear sky,37.72,23.95,Plaza Resort Hotel
553,Touros,BR,77.25,overcast clouds,-5.2,-35.46,INN NEW HORIZON
556,Nicoya,CR,77.95,overcast clouds,10.15,-85.45,Las Cabinas Del Sueño
560,Oranjestad,AW,81.01,overcast clouds,12.52,-70.03,Divi Village Golf & Beach Resort
561,Yurimaguas,PE,89.67,scattered clouds,-5.9,-76.08,Rio Huallaga Hotel & Business Center
563,The Valley,AI,86.14,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
567,Salur,IN,79.57,overcast clouds,18.53,83.22,SATYAM NAIDU FARM HOUSE ( సత్యం నాయుడు వ్యవసాయ క్షేత్రం )
569,Shu,KZ,82.89,clear sky,43.6,73.76,Shyngyzkhan
570,Iberia,US,89.98,clear sky,29.95,-91.75,back to back rv park
571,Kolda,SN,75.04,overcast clouds,12.88,-14.95,Hôtel Hobbe Chasse
573,Yining,CN,79.36,scattered clouds,29.04,114.56,Xiushui Hotel
574,Escanaba,US,87.76,few clouds,45.75,-87.06,Sunset Lodge
577,Alibag,IN,80.67,overcast clouds,18.64,72.88,"Radisson Blu Resort & Spa - Alibaug, India"
581,Tutoia,BR,81.57,scattered clouds,-2.76,-42.27,Pousada Guará's
584,Karera,IN,80.31,light rain,25.47,78.15,श्री हिमांशु जोशी (निवास)
587,Imbituba,BR,75.85,overcast clouds,-28.24,-48.67,Praia Hotel Imbituba
594,Kita,ML,78.03,overcast clouds,13.03,-9.49,Kouyou
600,Lalsot,IN,81.45,light rain,26.57,76.33,Manish Dhawan deoli
601,Bhinmal,IN,84.52,overcast clouds,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
602,Mao,ES,81.16,clear sky,39.89,4.27,ARTIEM Capri
607,Sohbatpur,PK,88.03,overcast clouds,28.52,68.54,قادری ہوٹل
608,Isla Mujeres,MX,86.16,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
609,Turayf,SA,84.88,clear sky,31.67,38.66,Turaif
612,Oussouye,SN,77.83,moderate rain,12.48,-16.55,Auberge du Routard
614,Tazmalt,DZ,85.14,clear sky,36.39,4.4,Hôtel Numédia
618,Tshikapa,CD,83.19,overcast clouds,-6.42,20.8,Tatem beach
622,Usta Muhammad,PK,88.88,overcast clouds,28.18,68.04,Chandio Mohllah
625,Constantine,DZ,85.41,few clouds,36.37,6.61,Grand Hotel Cirta
627,Dongargaon,IN,76.84,moderate rain,20.97,80.85,S r farmhouse
630,Harindanga,IN,82.2,overcast clouds,22.04,88.32,Hasanur Builders
632,Bejar,ES,75.29,scattered clouds,40.39,-5.76,Posada Puerta Grande
633,Santo Antonio Do Ica,BR,85.14,light rain,-3.1,-67.94,Hotel Farias
634,Ayapel,CO,86.45,overcast clouds,8.31,-75.14,Ayapel Córdoba
638,Manono,CD,80.2,scattered clouds,-7.3,27.42,Hotel hewa bora
640,Pontal Do Parana,BR,79.99,broken clouds,-25.65,-48.51,Eco Hostel Residencial Bananeiras
