City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Port Hedland,AU,2022-07-22 17:25:00,-20.3167,118.5667,66.25,100,100,4.61
96,Provideniya,RU,2022-07-22 17:25:00,64.3833,-173.3,42.57,80,63,9.28
97,Dabat,ET,2022-07-22 17:23:24,12.9842,37.765,56.08,89,57,3.02
98,Najran,SA,2022-07-22 17:25:01,17.4924,44.1277,95.65,18,38,8.97
99,Hilo,US,2022-07-22 17:23:29,19.7297,-155.09,79.29,100,100,9.22
100,Bredasdorp,ZA,2022-07-22 17:25:01,-34.5322,20.0403,54.36,64,100,7.85
101,Guerrero Negro,MX,2022-07-22 17:25:02,27.9769,-114.0611,73.89,64,6,19.28
102,Catuday,PH,2022-07-22 17:25:03,16.2923,119.8062,82.33,75,3,2.62
103,Diu,IN,2022-07-22 17:25:03,20.7141,70.9822,80.37,85,89,14.61
104,Gucheng,CN,2022-07-22 17:25:04,35.9115,111.3192,66.76,85,18,3.83
105,Mirnyy,RU,2022-07-22 17:25:04,62.5353,113.9611,59.23,87,100,4.0
106,Lagunas,PE,2022-07-22 17:23:09,-5.2269,-75.6753,82.96,64,99,1.72
107,Saint George,US,2022-07-22 17:25:05,37.1041,-113.5841,102.43,17,0,1.01
108,Harper,LR,2022-07-22 17:20:09,4.375,-7.7169,79.16,62,45,7.81
109,Jamestown,US,2022-07-22 17:21:06,42.097,-79.2353,84.02,67,75,6.91
110,Svetlogorsk,BY,2022-07-22 17:25:06,52.6333,29.7333,68.88,73,0,5.77
111,Makakilo City,US,2022-07-22 17:25:06,21.3469,-158.0858,77.32,69,20,9.22
112,Grindavik,IS,2022-07-22 17:21:39,63.8424,-22.4338,55.87,82,75,6.91
113,Kaitangata,NZ,2022-07-22 17:25:07,-46.2817,169.8464,38.68,92,84,4.68
114,Port Elizabeth,ZA,2022-07-22 17:25:07,-33.918,25.5701,60.31,69,0,8.05
115,Lebu,CL,2022-07-22 17:25:08,-37.6167,-73.65,54.34,96,100,11.07
116,Kamenka,RU,2022-07-22 17:25:08,51.3223,42.7678,61.72,83,94,6.02
117,Fairbanks,US,2022-07-22 17:25:08,64.8378,-147.7164,53.1,85,100,5.75
118,Bethel,US,2022-07-22 17:25:09,41.3712,-73.414,94.15,43,0,9.22
119,Onguday,RU,2022-07-22 17:25:09,50.75,86.15,51.87,95,54,0.89
120,San Quintin,MX,2022-07-22 17:25:10,30.4833,-115.95,72.81,69,43,13.96
